type,x,y,time
click,100,200,123456
mouse,625,294,1775454007724
mouse,636,296,1775454007730
mouse,646,296,1775454007737
mouse,657,296,1775454007744
mouse,669,296,1775454007757
mouse,683,293,1775454007763
mouse,697,291,1775454007769
mouse,710,288,1775454007776
mouse,722,283,1775454007781
mouse,735,277,1775454007787
mouse,747,267,1775454007793
mouse,757,255,1775454007800
mouse,763,242,1775454007806
click,763,242,1775454009001
mouse,764,242,1775454009112
mouse,767,241,1775454009118
mouse,768,241,1775454009125
mouse,769,241,1775454009132
mouse,771,241,1775454009139
mouse,772,241,1775454009146
mouse,774,241,1775454009152
mouse,776,241,1775454009160
mouse,781,241,1775454009166
mouse,795,240,1775454009173
mouse,828,233,1775454009187
mouse,897,217,1775454009193
mouse,956,205,1775454009199
mouse,1007,196,1775454009205
mouse,1047,189,1775454009211
mouse,1076,184,1775454009217
mouse,1091,181,1775454009223
mouse,1097,181,1775454009229
mouse,1100,181,1775454009236
mouse,1102,181,1775454009243
mouse,1103,181,1775454009250
mouse,1103,180,1775454009257
mouse,1104,180,1775454009264
click,1104,180,1775454009425
mouse,1088,177,1775454009494
mouse,1056,170,1775454009500
mouse,1024,164,1775454009507
mouse,1000,159,1775454009513
mouse,980,157,1775454009526
mouse,962,155,1775454009532
mouse,939,153,1775454009538
mouse,920,151,1775454009544
mouse,900,151,1775454009550
mouse,881,151,1775454009556
mouse,868,151,1775454009563
mouse,857,150,1775454009569
mouse,848,150,1775454009576
mouse,842,150,1775454009583
mouse,836,150,1775454009590
mouse,834,150,1775454009597
mouse,832,150,1775454009604
mouse,831,150,1775454009617
mouse,830,150,1775454009625
mouse,829,150,1775454009646
click,829,150,1775454009778
mouse,798,157,1775454010125
mouse,744,173,1775454010134
mouse,693,185,1775454010140
mouse,640,199,1775454010145
mouse,591,213,1775454010152
mouse,540,226,1775454010159
mouse,496,237,1775454010166
mouse,459,246,1775454010173
mouse,424,253,1775454010180
mouse,393,257,1775454010192
mouse,368,260,1775454010198
mouse,340,261,1775454010204
mouse,312,263,1775454010210
mouse,279,265,1775454010217
mouse,248,266,1775454010223
mouse,246,266,1775454011091
mouse,244,265,1775454011097
mouse,243,265,1775454011104
mouse,240,264,1775454011111
mouse,237,263,1775454011118
mouse,236,262,1775454011125
mouse,232,261,1775454011138
mouse,228,258,1775454011144
mouse,224,255,1775454011150
mouse,218,249,1775454011156
mouse,212,242,1775454011162
mouse,204,233,1775454011168
mouse,197,224,1775454011175
mouse,188,212,1775454011180
mouse,178,193,1775454011187
mouse,168,173,1775454011194
mouse,160,155,1775454011200
mouse,156,145,1775454011207
mouse,153,138,1775454011214
mouse,152,135,1775454011222
mouse,152,133,1775454011228
mouse,151,133,1775454011241
mouse,151,132,1775454011247
mouse,151,131,1775454011253
mouse,150,130,1775454011259
mouse,148,125,1775454011265
mouse,145,119,1775454011271
mouse,142,113,1775454011277
mouse,140,109,1775454011284
mouse,139,107,1775454011291
mouse,138,105,1775454011298
mouse,138,104,1775454011313
mouse,137,103,1775454011319
mouse,136,102,1775454011337
mouse,136,101,1775454011344
mouse,136,100,1775454011368
mouse,135,100,1775454011386
mouse,135,99,1775454011446
mouse,135,98,1775454011480
mouse,135,97,1775454011495
mouse,134,97,1775454011501
mouse,134,96,1775454011507
mouse,134,95,1775454011513
mouse,133,93,1775454011531
mouse,132,91,1775454011550
mouse,132,90,1775454011556
mouse,132,89,1775454011574
mouse,131,88,1775454011580
mouse,131,87,1775454011598
mouse,131,86,1775454011604
mouse,130,86,1775454011610
mouse,130,85,1775454011628
mouse,129,85,1775454011638
click,129,85,1775454011840
mouse,144,125,1775454011965
mouse,169,183,1775454011971
mouse,188,227,1775454011977
mouse,207,259,1775454011985
mouse,221,283,1775454011998
mouse,232,300,1775454012004
mouse,240,311,1775454012010
